No;Judul;Penulis;Abstract
111;Monitoring of agricultural drought in semi-arid ecosystem of Peninsular India through indices derived from time-series CHIRPS and MODIS datasets;"P. Sandeep a,b , G.P. Obi Reddy a,* , R. Jegankumar b , K.C. Arun Kumar a,b";"The reliable and consistent remote sensing-based drought indices along with Geographic Information System (GIS) play a significant role in the mapping, and monitoring of agricultural drought. The core objective of the present study is to monitor agricultural drought dynamics over the semi-arid Rayalaseema region of Peninsular India during the year 2000 to 2018 by using the Normalized Vegetation Supply Water Index (NVSWI) derived from time-series remote sensing data products. NVSWI is the normalization of Vegetation Supply Water Index (VSWI), which was computed by integrating the Normalized Difference Vegetation Index (NDVI) and Land Surface Temperature (LST). The analysis of Standardized Precipitation Index (SPI) shows that in dry year (2001), majority of the study area experienced extreme dry conditions (SPI < - 2.0) due to the deficit rainfall during the growing season. The spatio-temporal analysis of NVSWI reveals that the western, central, and northern parts of the study area were prone to frequent droughts of moderate to severe intensity. The high temperatures and below normal rainfall are found to be the major triggering factors for the droughts in the region. During the years 2001, 2002, 2003, 2006, 2009, 2014, 2017, and 2018 worst droughts were observed in the study region. The Pearson correlation analysis between monthly NVSWI with 1-month SPI and Vegetation Health Index (VHI) for the growing season of dry (2001) and wet (2007) years clearly show a significant positive correlation. The study clearly demonstrates the potential of NVSWI as one of the robust indices in the assessment and monitoring of agricultural droughts."
112;Agricultural erosion modelling: Evaluating USLE and WEPP field-scale erosion estimates using UAV time-series data;"Benjamin U. Meinen * , Derek T. Robinson";"Soil erosion models, typically applied at basin and watershed scales, are rarely evaluated at agricultural field scales due to the lack of spatially-distributed time series data. A novel unmanned aerial vehicle (UAV) methodology was used to quantify farm-field soil erosion from nine UAV surveys and structure-from-motion (SfM). Using a semi-distributed approach, we evaluated soil erosion estimates from the Universal Soil Loss Equation (USLE) and Water Erosion Prediction Project (WEPP). The annual erosion rate, measured with the UAV methodology, was 18.83 t ha- 1 yr- 1 , with USLE and WEPP predictions of 26.23 t ha- 1 yr- 1 and 16.41 t ha- 1 yr- 1 , respectively. Modelled annual and sub-annual erosion rates with WEPP were within the upper-limit of predictive accuracy, while the USLE tended to systematically overestimate soil erosion rates. These outcomes have implications on the efficacy of conservation efforts, which is highlighted through a discussion and comparison of different best-management practice applications."
113;Detailed agricultural land classification in the Brazilian cerrado based on phenological information from dense satellite image time series;"Hugo do Nascimento Bendinia,? , Leila Maria Garcia Fonsecaa , Marcel Schwiederb , Thales Sehn K?tinga , Philippe Rufinb,c , Ieda Del Arco Sanchesa , Pedro J. Leit?b,d , Patrick Hostertb,c";"The paradox between environmental conservation and economic development is a challenge for Brazil, where there is a complex and dynamic agricultural scenario. This reinforces the need for effective methods for the detailed mapping of agriculture. In this work, we employed land surface phenological metrics derived from dense satellite image time series to classify agricultural land in the Cerrado biome. We used all available Landsat images between April 2013 and April 2017, applying a weighted ensemble of Radial Basis Function (RBF) convolution filters as a kernel smoother to fill data gaps such as cloud cover and Scan Line Corrector (SLC)-off data. Through this approach, we created a dense Enhanced Vegetation Index (EVI) data cube with an 8-day temporal resolution and derived phenometrics for a Random Forest (RF) classification. We used a hierarchical classification with four levels, from land cover to crop rotation classes. Most of the classes showed accuracies higher than 90%. Single crop and Non-commercial crop classes presented lower accuracies. However, we showed that phenometrics derived from dense Landsat-like image time series, in a hierarchical classification scheme, has a great potential for detailed agricultural mapping. The results are promising and show that the method is consistent and robust, being applicable to mapping agricultural land throughout the entire Cerrado"
114;On the enrichment of time series with textual data for forecasting agricultural commodity prices;"Ivan Jos·Reis Filhoa,b,* , Ricardo Marcondes Marcacini b , Solange Oliveira Rezende b";"Forecasting models in the financial market generally use quantitative time-series data. However, external factors can influence data in time-series, such as weather events, economic crises, and the foreign exchange market. This information is not explicit in the time-series and can influence the prediction of the variable values. Textual data can be a source of knowledge about external factors and is potentially helpful for time-series forecasting models. Some studies have presented text mining techniques to combine textual and time-series data. However, the existing representations have limitations, such as the curse of dimensionality and sparse data. This work investigates the finite use of domain-specific terms to investigate these problems by representing textual data with low dimensional space. We consider thirty-three keywords that are potentially important in the domain to enrich time-series using text mining techniques. Four regression models were applied to the representation proposed to predict the future daily price of corn and soybeans. The experimental setup considers a real market scenario, in which the daily sliding window strategy and step-forward forecast were used. The representation proposed has better accuracy in some forecasting scenarios. The results indicate that text data are a promising alternative for enriching time-series representations and reducing uncertainty forecasting models."
115;"Validating the use of MODIS time series for salinity assessment over agricultural soils in California, USA";"Kristen Whitneya , Elia Scudierob,c,? , Hesham M. El-Askaryd,e,f , Todd H. Skaggsc , Mohamed Allalie , Dennis L. Corwinc";"Testing soil salinity assessment methodologies over different regions is important for future continental and global scale applications. A novel regional-scale soil salinity modeling approach using plant-performance metrics was proposed by Zhang et al. (2015) for farmland in the Yellow River Delta, China, a region with a humid continental/subtropical climate. The one-year integral of temporally interpolated MODIS Enhanced Vegetation Index (EVI) time series data was proposed as an explanatory variable for agricultural soil salinity modeling. Here, we test such a methodology in California?s Central Valley, USA, a region with a semi-arid Mediterranean climate. Time series of EVI, Normalized Difference Vegetation Index (NDVI), and Canopy Response Salinity Index (CRSI) were created for the 2007?2013 period. Seventy-three MODIS pixels surveyed for 0?1.2-m soil salinity in 2013 were used as the ground-truth dataset. Our results validate the tested approach: the 2013 integral of CRSI (best performing index) had a Pearson correlation coefficient (r) of -0.699 with salinity. Results obtained using temporally integrated data were almost always better than those obtained using individual data. Furthermore, we show that the methodology can be improved by the use of multi-year data. Further research is needed to improve spatial resolution and the selection of vegetation indices"
116;"Multi-faceted land cover and land use change analyses in the Yellow River Basin based on dense Landsat time series: Exemplary analysis in mining, agriculture, forest, and urban areas";"Christian Wohlfart a, b, * , Benjamin Mack b , Gaohuan Liu c , Claudia Kuenzer b";"The Yellow River Basin is one of Chinas most dynamic regions, where past and recent anthropogenic land use activities and polices have had a remarkably impact on the basins surface. Over the past decades, the rapid socio-economic development has increased the pressure on the prevailing water and land resources with various repercussions on the environment and society. Counteracting ecological degradation in the basin, large-scale conservation and restoration plans have been initiated to expand vegetation coverage on deteriorated land, simultaneously fostering rural sustainable agriculture production. In this context, we derived precise spatial thematic products from long-term satellite timeseries about high-frequency temporal dynamics. This information, available in a consistent and repeatable fashion is rare and relevant for many regional and local stakeholders and must be monitored annually to capture the rapid rate of change. Such information serves as a valuable base for decisionmaking processes. In this study, we used all the archived Landsat images between 2000 and 2015 (4520 scenes) to computed annually the spatially continuous spectral-temporal and textual metrics based on dense Landsat time-series to derive annual maps showing the most prominent land-cover change types related to mining, agriculture, forestry, and urbanization in four sub-regions spread over the Yellow River Basin. These novel land cover/use products provide new insights into recent regional and local dynamics. For final classification, we employed random forest classifiers for each thematic focus-region, trained and tested based on a stable-pixels data set. The resulting maps achieved high accuracies and show afforestation on the Loess Plateau and urbanization as the most prominent drivers of land use/cover dynamics. Agricultural land remained stable, showing local small-scale dynamics. Our study highlights the great potential of using consistent spectral-temporal metrics derived from dense Landsat time-series data together with a stable pixels reference set, allowing for local and regional land surface dynamics mapping at high spatial resolution and the prediction of implications of future change for effective and sustainable basin management."
117;Application of spatial EOF and multivariate time series model for evaluating agricultural drought vulnerability in Korea;"Kim Dae Ha a , Yoo Chulsang a,? , Kim Tae-Woong b";"This study proposed a methodology using the empirical orthogonal function (EOF) and multivariate time series model for the analysis of drought both in time and space. The methodology proposed was then applied to evaluate the vulnerability of agricultural drought of major river basins in Korea. First, the three-month SPI data from 59 rain gauge stations over the Korean Peninsula were analyzed by deriving and spatially characterizing the EOFs. The shapes of major estimated EOFs were found to well reflect the observed spatial pattern of droughts. Second, the coefficient time series of estimated EOFs were then fitted by a multivariate time series model to generate the SPI data for 10,000 years, which were used to derive the annual maxima series of areal average drought severity over the Korean Peninsula. These annual maxima series were then analyzed to determine the mean drought severity for given return periods. Four typical spatial patterns of drought severity could also be selected for those return periods considered. This result shows that the southern part of the Korean Peninsula is most vulnerable to drought than the other parts. Finally, the agricultural drought vulnerability was evaluated by considering the potential water supply from dams. In an ideal case, when all the maximum dam storage was assumed to be assigned to agriculture, all river basins in Korea were found to have the potential to overcome a 30-year drought. However, under more realistic conditions considering average dam storage and water allocation priorities, most of the river basins could not overcome a 30-year drought."
118;Performance Analysis of the Regression and Time Series Predictive Models using Parallel Implementation for Agricultural Data;"Balaji Prabhu B Va *, M Dakshayinib";"The profit and loss of any type of business depends on the effective decision making and predictive models playvery important role in making wise decisions in all cases. Agriculture is also a kind business, where the farmers need to make the timely decisions in crop selection to make the farm business more useful and profitable. In developing countries like India, farmers are failing to make theright decision at right time to make the profitable farm business. An efficient predictive model based system could definitely help the farmers in making appropriate timely decisions in crop selection and thereby minimizing the loss. Hence there is a need for an efficient predictive model that can effectively deal with Big-data. As there are many predictive models existing, the performance of these models needs to be analyzed to select the more appropriate and effective model based on the application with the increasing data size. This paper proposes and implements a parallel predictive model for potentially forecasting the demand, supply and price values of the agricultural commodities. The forecasted values of various models are compared with the actual market values and analyzed the performance to select the best"
119;"Extraction of agricultural phenological parameters of Sri Lanka using MODIS, NDVI time series data";"W.G.N.N Jayawardhanaa *, V.M.I Chathurangeb";"Management of crops is an essential part in the food production procedure. Having a thorough knowledge of growth stages of each crop is of paramount importance in this respect. Phenology (transplanting, panicle formation, flowering etc) is the study of cyclic and seasonal natural phenomena that are controlled by environmental and climatic factors. Monitoring the crop condition manually in the field is difficult and time consuming. Therefore recently, several methods have been introduced by using satellite derived vegetation indices. Extraction of phenological parameters is helpful for the purposes like irrigation management, nutrient management, health management, yield prediction and crop type mapping. Easily extracted parameters will be the important data base for agricultural researchers. This research is an attempt to extract paddy phenological parameters of Sri Lanka by using 16 years? (2000 to 2015) Time series MODIS Normalised Difference Vegetation Index (NDVI), which is highly sensitive for the green vegetation and the data were analysed using SPIRITS and TIMESAT software?s. Periodicity converter in SPIRITS and Savitzky Golay filtering in TIMESAT and SPIRITS are helpful in smoothing the time series which are perturbed by noise due to missing values and Clouds. Phenology is considered as a sensitive climate change indicator but, it is very essential to have a comprehensive familiarity about the method of water supply that the study area is irrigated or rain fed so as to eliminate the wrong interpretation. As results, average of long time series of NDVI profile for a few agro ecological zones of Sri Lanka with extracted seven parameters (Start of the season, End of the season, Length of the season, Booting date, Base value, Maximum NDVI during the Season, Amplitude) and generated phenological parameter maps are presented here. The crop phenology is a very important element of agricultural monitoring, to ensure the security of the food crop production."
120;Image time series processing for agriculture monitoring;"Herman Eerens a , Dominique Haesen a , Felix Rembold b , Ferdinando Urbano b,*, Carolien Tote a , Lieven Bydekerke a";"Given strong year-to-year variability, increasing competition for natural resources, and climate change impacts on agriculture, monitoring global crop and natural vegetation conditions is highly relevant, particularly in food insecure areas. Data from remote sensing image series at high temporal and low spatial resolution can help to assist in this monitoring as they provide key information in near-real time over large areas. The SPIRITS software, presented in this paper, is a stand-alone toolbox developed for environmental monitoring, particularly to produce clear and evidence-based information for crop production analysts and decision makers. It includes a large number of tools with the main aim of extracting vegetation indicators from image time series, estimating the potential impact of anomalies on crop production and sharing this information with different audiences. SPIRITS offers an integrated and flexible analysis environment with a user-friendly graphical interface, which allows sequential tasking and a high level of automation of processing chains. It is freely distributed for non-commercial use and extensively documented."
121;"The effects of climate variability and the color of weather time series on agricultural diseases and pests, and on decisions for their management";"K.A. Garrett a,*, A.D.M. Dobsonb, J. Kroschel c, B. Natarajand, S. Orlandini e, H.E.Z. Tonnangc, C. Valdiviaf";"If climate change scenarios include higher variance in weather variables, this can have important effects on pest and disease risk beyond changes in mean weather conditions. We developed a theoretical model of yield loss to diseases and pests as a function of weather, and used this model to evaluate the effects of variance in conduciveness to loss and the effects of the color of time series of weather conduciveness to loss. There were two qualitatively different results for changes in system variance. If median conditions are conducive to loss, increasing system variance decreases mean yield loss. On the other hand, if median conditions are intermediate or poor for disease or pest development, such that conditions are conducive to yield loss no more than half the time, increasing system variance increases mean yield loss. Time series for weather conduciveness that are darker pink (have higher levels of temporal autocorrelation) produce intermediate levels of yield loss less commonly. A linked model of decision-making based on either past or current information about yield loss also shows changes in the performance of decision rules as a function of system variance. Understanding patterns of variance can improve scenario analysis for climate change and help make adaptation strategies such as decision support systems and insurance programs more effective."
122;Detecting gradual and abrupt changes in water quality time series in response to regional payment programs for watershed services in an agricultural area;"Tian He, Yan Lu ? , Yanping Cui, Yabo Luo, Min Wang, Wei Meng, Kaijie Zhang, Feifei Zhao";"Market-based watershed protection instruments can effectively improve water quality at various catchment scales. Two payments for watershed services (PWS) programs for water quality improvement have been successively implemented in the Huai River catchment and its sub-watershed, the Shaying River catchment, in Henan Province since 2009. To detect changes in water quality in response to PWS schemes, nonparametric statistical approaches were used to analyze gradual and abrupt trends in water quality, focusing on chemical oxygen demand (COD) and ammonia-nitrogen (NH3-N) at 26 monitoring stations in the Huai River watershed during 2006?2013. The nonparametric Mann?Kendall test and the Theil?Sen estimator were used to identify trends and their magnitudes in weekly water quality observations and the Pettitt test was applied to change-point analysis of water quality time series. We found decreasing concentration trends in the weekly water quality data set in this catchment, with water quality at most stations affected by the PWS schemes. The COD and NH3-N concentrations decreased at 26 stations by an average of 0.05 mg/L wk and 0.01 mg/L wk, respectively, from 2006 to 2013. Meanwhile, the mean concentrations of COD and NH3-N decreased at the 26 stations by an average of 18.03 mg/L and 4.82 mg/L, respectively, after the abrupt change points of the time-series trends of these two pollutants. We also estimated annual reductions in COD and NH3-N for each station based on average flow observations using the Theil?Sen approach along with the resulting economic benefits from 2009 to 2010. The COD and NH3-N reductions were 14604.50 and 6213.25 t/y, respectively, in the Huai River catchment in Henan Province. The total economic benefits of reductions in these two pollutants were 769.71 million ? in 2009 and 2010, accounting for 0.08% and 0.06%, respectively, of the GDP in the entire Huai River watershed of Henan Province. These results provide new insights into the linkages between PWS programs and water quality improvements at regional and local scales for effective management of water resources."
123;"Innovation, natural resources abundance, climate change and green growth in agriculture";"Xiaocong Ren, Jun He, Zilong Huang *";"The growing concerns over climate change and the existence of the resource curse hypothesis in several resourcerich countries highlight the importance of green growth. Similarly, promoting green growth in agriculture is essential for addressing environmental problems, realizing sustainable development, and building a sustainable future. However, none of the studies emphasized the specific phenomena of the agriculture sector. Therefore, the core objective of this paper is to explore the role of innovation, natural resource abundance, and climate change in promoting green growth in the agriculture sector of China. The study used time series data ranging from 1970 to 2021 and applied cointegration and spectral causality techniques for empirical investigation. Robustness of the results was ensured using Bayesian regression. The findings of the study indicated that innovation significantly improves green growth in agriculture. It is also found that the proxy of climate change also plays a significant positive role in the green growth of agriculture. Conversely, the role of natural resource abundance in green agricultural growth has been found to be negative, which confirms the existence of a resource curse in the agriculture sector of China. Notably, all variables in the model demonstrated a positive impact on green growth in agriculture, except for natural resource abundance. The findings provide reasonable insights for policy development related to innovation, natural resources, and agriculture sector growth. The study concludes with key suggestions for policy formulation."
124;Links between US and Turkish agricultural commodity Markets: Nonlinear dependence and tail risk;"Zehra Atik a , Bulent Guloglu ? a , Necla Ilter Kucukcolak b";"In these unprecedented times, marred by the effects of the Covid-19 pandemic, global warming, and the war in Ukraine that began in February 2022, new approaches such as tail dependence have attracted more interest than conventional market dependence methodologies in analyzing time series in order to evaluate market linkage. In this study, we use the tail-restricted integrated regression function (IRF), introduced as a new methodology for nonlinear tail-mean dependence analysis. The IRF approach has several advantages over the existing tail-dependence measures focused solely on the occurrence of single tail events. To examine market dependence and tail risk, we analyze the nexus between the US and Turkish agricultural commodity markets over the period January 5, 2016?May 31, 2022. In addition to the daily prices of barley, corn, and wheat on agricultural commodity markets, we use Brent oil as a representative for the energy market, interest, and foreign exchange rates for financial markets as variables in our study. The results of upside and downside asymmetric risk spillovers show the direction of impact from the US agricultural market to the Turkish agricultural market. The findings suggest that, following the launch of a spot market in Turkiye, the launch of an ? agricultural commodity futures market will enhance the completeness and the link between the spot and derivatives markets there"
125;Nitrogen and phosphorus losses in Nordic and Baltic agricultural monitoring catchments ? Spatial and temporal variations in relation to natural conditions and mitigation programmes;"Katarina Kyllmar a,* , Marianne Bechmann b , Gitte Blicher-Mathiesen c , Franziska Katharina Fischer b , Jens Folster ? d , Arvo Iital e , Ainis Lagzdin??sf , Arvydas Povilaitis g , Katri Rankinen h";"Nitrogen (N) and phosphorus (P) losses via agricultural drainage water have negative impacts on receiving water bodies and large-scale programmes to reduce nutrient losses have been established in the Nordic and Baltic countries, together with agricultural catchment monitoring programmes. This study evaluated time series (9?40 years) of data from 34 selected Nordic-Baltic catchments for spatial and temporal variations in area-specific water discharge (mm) and in concentrations and transport of total nitrogen (TN) and total phosphorus (TP). Water discharge from the catchments varied from 125 mm (Denmark) to > 1000 mm (Norway). Catchments with low TN concentrations (=3 mg L-1) were dominated by clay or grass leys or were undrained with reduction of nitrate (NO3) in shallow groundwater. Catchments with high TN concentrations (=10 mg L-1) had loams and cereal crops. TP concentrations were highest (=0.45 mg L-1) in catchments with erosive soils, relatively high water discharge and cereal crops, and lowest (=0.07 mg L-1) in catchments with permeable soils. Generalised additive mixed model (GAMM) analysis of time series of transport and flow-weighted concentrations of TN and TP for temporal patterns revealed decreases in TN concentrations in seven catchments and increases in eight, while four had periods with opposing trends. TN concentrations decreased in Denmark and Sweden in 1990?2010, following introduction of mitigation programmes. TP concentrations decreased in eight catchments and increased in six, while one showed opposing trends. Decreases in TP coincided with improved P balance in catchments with sand and loam. To further reduce N and P losses, a tailored set of mitigation measures is needed for each combination of soil, climate, geohydrology and agricultural production. Intensive monitoring of small catchments can reveal how N and P losses relate to natural conditions and to changes in agricultural production"
126;AgriMine: A Deep Learning integrated Spatio-temporal analytics framework for diagnosing nationwide agricultural issues using farmers? helpline data;"Samarth Godara a,b , Durga Toshniwal b , Rajender Parsad a , Ram Swaroop Bana c,* , Deepak Singh a , Jatin Bedi d , Abimanyu Jhajhria e , Jai Prakash Singh Dabas c , Sudeep Marwaha a";"In the current scenario, exploring new means to gain accurate information regarding agriculture-related problems is the need of the hour. In this direction, we propose a multi-stage framework to perform spatial mapping and time series analysis on more than 26 million farmers? helpline call-log records, made available by the Ministry of Agriculture & Farmers? Welfare, Government of India. The proposed spatial analysis framework delivers hidden patterns regarding the crop-wise density of farmers calling for help from various regions of the country. Furthermore, the proposed step-plot concept gives insights into the time span of the problems in the agriculture sector. Additionally, the proposed framework explores the potential of high-end forecasting models, including five Deep Learning-based models to predict the topic-wise demand for help (number of query calls) by the producers of the target regions. To elaborate on the utility of the presented work, the article outlines two case studies corresponding to policy recommendations regarding agriculture extension and other related domains using AgriMine."
127;From meteorological to agricultural drought: Propagation time and probabilistic linkages;"Zhengguang Xu a,b , Zhiyong Wu a,c,* , Quanxi Shao d , Hai He a , Xiao Guo a";"Study region: Yangtze River Basin, China Study focus: As agricultural drought originates from meteorological drought, exploring the propagation from meteorological to agricultural drought is an important step in providing early warning of agricultural drought. In this study, Standardized Precipitation Index (SPI) and Improved Soil Moisture Anomaly Percentage Index (ISMAPI) were adopted to indicate meteorological and agricultural droughts, respectively. The propagation time from meteorological drought to agricultural drought was identified, and probabilistic linkages between the two types of drought were investigated using the copula function and Bayesian network. New hydrological insights: The average propagation time from meteorological to agricultural drought in the Yangtze River Basin (YRB) is 48 d. The propagation times in the summer and autumn are shorter than those in the spring and winter. The occurrence probability of more serious agricultural drought gradually increases with meteorological drought intensity. Agricultural and meteorological drought events were matched using the proposed drought eventmatching method. In the YRB, approximately 72.4% of meteorological drought events may translate into agricultural drought events. Generally, an agricultural drought event that has the same drought category as that of the given meteorological drought event is most likely to occur. Regional differences in drought propagation time and occurrence probability of agricultural drought may be related to variations in climatic conditions across regions."
128;An econometric analysis of Greenhouse gas emissions from different agricultural factors in Bangladesh;"Asif Raihana,* , Dewan Ahmed Muhtasimb , Sadia Farhanac , Md Ahsan Ul Hasanb , Monirul Islam Pavel b , Omar Faruk b , Mostafizur Rahmand , Abir Mahmoodd";"Global climate change triggered by greenhouse gases (GHGs) puts incomparable threats to the environment and food security. Agriculture is one of the key drivers of environmental deterioration, which is linked to GHG emissions and labeled ultrasensitive to climate change. However, there is a scarcity of research exploring the nexus between agriculture and GHG emissions in Bangladesh. Thus, the present study empirically investigates the dynamic impacts of agricultural land expansion, agricultural value added, crop production, livestock production, fisheries production, energy use in agriculture, fertilizer consumption, and forest land on GHG emissions in Bangladesh. Time series data from 1990 to 2018 were utilized by employing the Dynamic Ordinary Least Squares (DOLS) approach. The empirical findings reveal that a 1% increase in agricultural land, crop production index, livestock production index, fisheries production, energy use in agriculture, and fertilizer consumption will increase GHG emissions by 0.25%, 0.29%, 0.40%, 0.18%, 0.46%, and 0.28% in the long run. Conversely, a 1% increase in agricultural value added and the forest land may lead to GHG emissions reduction by 0.32% and 1.44% in the long run. The estimated results are robust to alternative estimators such as fully modified least squares (FMOLS) and canonical cointegrating regression (CCR). This research contributes to the existing literature by shedding light on the GHG emissions from the agriculture sector of Bangladesh. This article put forward policy recommendations on sustainable and climate-smart agriculture that would enhance productivity and resilience while reducing emissions from the agriculture sector."
129;Potential application of artificial intelligence to the alpha and gamma radiation from agricultural byproducts used as building and construction materials;"Solomon Oyebisi a,* , Thamer Alomayri b";"Recycled agricultural wastes are being used in the building and construction sector as cement additives as a result of the environmental impact of cement production. Agricultural byproducts, on the other hand, are naturally occurring radioactive elements that could expose people and the environment to radiation dangers. As a result, this research assesses the radiological characteristics of agricultural byproducts utilized as building and construction materials with special attention to their activity concentrations (226Ra series, 232Th series, and 40K isotopes). The levels of alpha and gamma radiation were measured via the activity concentrations. Alpha and gamma radiation (output data) and activity concentrations (input data) were trained using artificial intelligence techniques, and the model?s effectiveness was evaluated. In terms of the metrics of the model, the linear regression algorithm outperformed other algorithms. Finally, none of the agricultural byproducts studied are at risk from alpha and gamma radiation. Thus, the findings provide the reference information needed to build a framework for radiation monitoring of surveyed agricultural byproducts."
130;"Transmission of risks between energy and agricultural commodities: Frequency time-varying VAR, asymmetry and portfolio management";"Fumitaka Furuoka a , OlaOluwa Simon Yaya b,* , Pui Kiew Ling c , Mamdouh Abdulaziz Saleh Al-Faryan d,e , M. Nazmul Islam f";"This paper examines energy and agricultural commodities? short-run and long-run connectedness by using the Time-varying parameter vector autoregressions (TVP-VAR). It applies the frequency version of the TVP-VAR model, which is a modified version of the dynamic TVP-VAR model. The frequency decomposition definition also decomposes into short-run and long-run connectedness. We further the analysis by investigating the effect of asymmetry in returns on connectedness. It also examines how portfolio management strategies would lead to a maximization of profits with minimal risks. Empirical evidence indicates that only 32.52% and 31.38% of connectedness in oil and gas, respectively, are transmitted to agricultural commodities, which suggests their weak tendencies in influencing agricultural commodities the total connectedness index hovers around 40?60% in the 2018?2019 period however, it dropped below 40% in 2020?2021 when the COVID-19 pandemic contributed to disintegrate the connectedness between energy and agricultural commodities but increased further during the 2022 Russia-Ukraine saga. The findings also indicate that corn, wheat, and flour are net transmitters of risks to oil and natural gas in the long and short-run, and wheat-flour pairwise connectedness is the strongest in the connectedness. Asymmetry is also pronounced in the network of connectedness. Portfolio analyses indicate that investors require a low proportion of energy in a portfolio of energy-agricultural commodities to achieve an optimum profit. The findings will offer exciting insights into the connectedness of agricultural and energy commodities, particularly during periods of high price uncertainty."
131;Detecting the long-term spatiotemporal crop phenology changes in a highly fragmented agricultural landscape;Detecting the long-term spatiotemporal crop phenology changes in a highly fragmented agricultural landscape;"Trends in crop phenometrics reveal the influence of climate variability and change on crop growth and development. However, the trends are less clear in fragmented tropical smallholder landscapes, because there is high spatial and temporal variability in crop phenology. Frequent historical and high spatial resolution (=30 m) Earth observations are needed to track changes in crop phenology in fragmented landscapes but are often unavailable. The spatial?temporal gap can be closed by integrating infrequent high spatial resolution Earth observations with low spatial/high temporal resolution observations through data fusion. We fused 30 m resolution Landsat and 250 m resolution MODIS imagery to investigate trends in crop phenology from 2000 to 2020 in a fragmented agricultural landscape of Ethiopia. We used the Enhanced Spatial and Temporal Adaptive Reflectance Fusion Model (ESTARFM) that had recently been modified for application in fragmented agricultural landscapes. We used the non-parametric Mann?Kendall test for crop phenology trend analysis. Crop phenology based on Landsat?MODIS fusion was compared to MODIS-based crop phenology without fusion. We found data fusion yielded a smaller magnitude of changes in the start of season (SOS: -0.2-day-y- 1 ) and end of season (EOS: -0.50- day-y- 1 ) compared to MODIS SOS (-0.5-day-y- 1 ) and EOS (1.38-day-y- 1 ) due to MODIS-related mixing with the surrounding natural vegetation in the fragmented agricultural landscape. EOS showed a faster rate of change compared to SOS over the 21-years. The Landsat and MODIS fusion captured spatial variation in the timing and magnitude of change specific to crops and their growing environment, which has implications for adaptation strategies. Our results highlight the importance of long-term data fusion to improve the spatial dimension of crop phenology time series analysis. Integrating time series land cover maps into the data fusion processing chain could further improve long-term data fusion for crop phenology trend analysis."
132;A multi-year land use trajectory strategy for non-active agricultural land mapping in sub-humid West Africa;"Enzo Castro Alvarado a,* , Agn? B?u·a,b , Louise Leroux c,d,e , Raffaele Gaetano a,b";"Non-active agricultural land (NAAL) mapping in West Africa is essential to accurately assess agricultural systems and its contribution to food security and agro-ecological sustainability of current practices, and yet the available mapping methodologies are not adapted to the environmental and cropping conditions encountered when addressing tropical smallholder agriculture. In this study we present a strategy that makes use of Sentinel2 image time series, CHIRPS monthly rainfall data and multiple years of in-situ data obtained from the JECAM database to map NAAL in a Soudanian site in Burkina Faso (Koumbia) between the years 2016 and 2021. In a first step we generated annual land use maps in four broad classes (managed, unmanaged, evergreen and non-vegetated) to detect fields being actively cultivated in a given year, and in a second step, we used these annual land use maps to differentiate non-active agricultural land by identifying shifts from one year to another. For the validation part, we analyzed the sensitivity of classification accuracy to in-situ data pre-processing by building 5 experimental validation data sets. The unmanaged classes F1-scores of the land use maps ranged between 0.86 and 0.98, depending on the year, whereas NAAL classes F1-scores ranged from 0.75 to 0.92 when validated against the most restrictive data set (pixels with no missing reference data for the period considered). NAAL represents between 7% to 14% of the study site cropland depending on the year. The higher class probabilities are in areas where data was available, whereas the low probabilities are localized and linked to transition areas on the outskirts of the department. Our results indicate that a multi-annual approach can allow NAAL mapping under challenging environments, yet efforts are to be made to develop more cost-efficient unsupervised solutions"
133;"The dynamic nexus between economic growth, renewable energy use, urbanization, industrialization, tourism, agricultural productivity, forest area, and carbon dioxide emissions in the Philippines";Asif Raihan;"Global climate change, intensified by greenhouse gas (GHG) emissions, particularly carbon dioxide (CO2), provides a massive threat to human life, the environment, development, and sustainability. Consequently, reducing emissions and improving environmental conditions are now a global priority for promoting sustainable growth and preventing the adverse consequences of global warming and climate change. However, there is a paucity of research employing econometric methodologies to investigate the potential of emission reduction factors, particularly in the case of the Philippines. Thus, the present study explored the dynamic effects of economic growth, renewable energy use, urbanization, industrialization, tourism, agricultural productivity, and forest area in the Philippines in order to accomplish environmental sustainability by lowering CO2 emissions. The Autoregressive Distributed Lag (ARDL) bounds testing approach and the Dynamic Ordinary Least Squares (DOLS) methodology were used to scrutinize time series yearly data from 1990 to 2020. According to the estimates, a 1% rise in economic growth, urbanization, industrialization, and tourism will raise CO2 emissions by 0.16%, 1.25%, 0.06%, and 0.02% in the Philippines, respectively. Furthermore, a 1% increase in renewable energy consumption, agricultural productivity, and forest area may result in CO2 emissions reductions of 1.50%, 0.20%, and 3.46%, respectively. Furthermore, the pairwise Granger causality test was employed to capture the causal relationships between the variables. This article provides policy implications on low-carbon economies, promoting renewable energy use, sustainable urbanization, green industrialization, eco-friendly tourism, climate-smart agriculture, and sustainable forest management, all of which could help ensure environmental sustainability by lowering emissions."
